t,epsilon,error_raw,error_norm,stim_current,stim_freq
164,0.05,3.4859492003802868,0.9000682132531941,0.5968380643857443,5.998754361707493
165,0.05,3.498172240674584,0.9032241886865165,0.5968872783108712,5.998707760766532
166,0.05,3.5106417319754977,0.9064437974961242,0.5969357506256149,5.998665208958492
167,0.05,3.5233630821776374,0.9097284359944016,0.596983547308586,5.99862653272482
168,0.05,3.5363842826828624,0.9130904955080259,0.597030739782468,5.99859157592789
169,0.05,3.54972583360376,0.9165352691433067,0.5970773989228412,5.9985601932609915
170,0.05,3.563401611481511,0.920066339807771,0.5971235935914139,5.998532248212656
171,0.05,3.5774261999847283,0.9236874729884624,0.5971693906720782,5.998507612562258
172,0.05,3.591814921016045,0.92740262478363,0.5972148551340939,5.998486165929764
173,0.05,3.606595989627606,0.9312190802884117,0.6002749956461401,6.000876344145991
174,0.05,3.621788651292405,0.935141808662567,0.6001692422377795,6.000740523312637
175,0.05,3.637244405574797,0.9391324672584855,0.6000708622836485,6.000613579304763
176,0.05,3.652949430451407,0.9431874872450778,0.5999795136314805,6.000495094801539
177,0.05,3.6689078556291728,0.9473079349080901,0.5998948683194566,6.0003846704310115
178,0.05,3.685120934161166,0.9514941337844344,0.5998166145398287,6.000281926545806
179,0.05,3.7015962224103056,0.9557480349186266,0.5997444557791284,6.000186502184805
180,0.05,3.7183583565149974,0.960075999334251,0.5996781084424531,6.000098052527845
181,0.05,3.7354092090057445,0.9644785105166045,0.5996173031679815,6.000016250049103
182,0.05,3.752750819730409,0.9689560951521404,0.5995617842218852,5.99994078375895
183,0.05,3.770385410928972,0.9735093270207543,0.599511308893921,5.999871358454132
184,0.05,3.7883065949862873,0.9781365568473077,0.5994656478943735,5.999807694976574
185,0.05,3.806508520104547,0.9828362737041033,0.5969324619844373,5.9988642696603085
186,0.05,3.824992959122116,0.9876089353360388,0.5970203974987387,5.998855614790816
187,0.05,3.8437606478826813,0.992454731737137,0.5971063010676754,5.998849757495148
188,0.05,3.8628114623649625,0.9973736308852411,0.5971903005693286,5.9988465841754275
189,0.05,3.8821432038763373,1.0023650650803573,0.5972725181622434,5.998845987588036
190,0.05,3.901758424310966,1.007429693218724,0.5973530704361093,5.998847866390612
191,0.05,3.9216657253532747,1.012569736245711,0.5974320687551002,5.998852124911877
192,0.05,3.9418731399207494,1.0177872682516933,0.5975096195044454,5.998858672853382
193,0.05,3.9623748205459304,1.023080779427066,0.5975858239219413,5.998867424603431
194,0.05,3.9831671093632828,1.0284493253150087,0.5976607784296691,5.998878299077084
195,0.05,4.004253036783103,1.0338936883640955,0.5977345751162455,5.99889121973129
196,0.05,4.025635813719833,1.0394146976288705,0.5978073019669532,5.998906114351245
197,0.05,4.047300992287724,1.0450086226812738,0.5978790422327571,5.998922913997833
198,0.05,4.069250261472698,1.0506758996155956,0.5979498754661335,5.998941553642955
199,0.05,4.091485745035486,1.056417076784499,0.5980198777453282,5.998961972013308
0,0.1,0.48785787042182543,0.12596436049732973,0.9800058233717397,9.80000582337174
1,0.1,0.5061090353707581,0.13067679102373644,0.9610088638182871,9.610008863818287
2,0.1,0.527040076909949,0.13608116271040724,0.9429590371187504,9.42950903711875
3,0.1,0.5503069345584986,0.14208863952316797,0.9258088350700553,9.258031335070056
4,0.1,0.5755818523278645,0.14861459522966905,0.9095131754748694,9.095124550474871
5,0.1,0.6025483967648512,0.1555773270636165,0.894029265523491,8.940360071773492
6,0.1,0.6309648758167244,0.16291443040533365,0.8793164718243351,8.793330737761837
7,0.1,0.6605591509858444,0.17055563939687238,0.865336222432015,8.653649775072642
